upstream,downstream,height,logP
-225000.0,-225000.0,191.0,0.0
-225000.0,-225000.0,171.0,0.0
-225000.0,-225000.0,151.0,0.0
-225000.0,-225000.0,131.0,0.0
-225000.0,-225000.0,111.0,0.0
-225000.0,-225000.0,91.0,0.0
-225000.0,-225000.0,71.0,0.0
-225000.0,-225000.0,51.0,0.0
-225000.0,-225000.0,31.0,0.0
-225000.0,-225000.0,11.0,-0.796524701836
-175000.0,-225000.0,191.0,0.0
-175000.0,-225000.0,171.0,0.0
-175000.0,-225000.0,151.0,0.0
-175000.0,-225000.0,131.0,0.0
-175000.0,-225000.0,111.0,0.0
-175000.0,-225000.0,91.0,0.0
-175000.0,-225000.0,71.0,0.0
-175000.0,-225000.0,51.0,0.0
-175000.0,-225000.0,31.0,0.0
-175000.0,-225000.0,11.0,0.0
-125000.0,-225000.0,191.0,0.0
-125000.0,-225000.0,171.0,0.0
-125000.0,-225000.0,151.0,0.0
-125000.0,-225000.0,131.0,0.0
-125000.0,-225000.0,111.0,0.0
-125000.0,-225000.0,91.0,0.0
-125000.0,-225000.0,71.0,0.0
-125000.0,-225000.0,51.0,0.0
-125000.0,-225000.0,31.0,0.0
-125000.0,-225000.0,11.0,0.0
-75000.0,-225000.0,191.0,0.0
-75000.0,-225000.0,171.0,0.0
-75000.0,-225000.0,151.0,0.0
-75000.0,-225000.0,131.0,0.0
-75000.0,-225000.0,111.0,0.0
-75000.0,-225000.0,91.0,0.0
-75000.0,-225000.0,71.0,0.0
-75000.0,-225000.0,51.0,0.0
-75000.0,-225000.0,31.0,0.0
-75000.0,-225000.0,11.0,0.0
-25000.0,-225000.0,191.0,0.0
-25000.0,-225000.0,171.0,0.0
-25000.0,-225000.0,151.0,0.0
-25000.0,-225000.0,131.0,0.0
-25000.0,-225000.0,111.0,0.0
-25000.0,-225000.0,91.0,0.0
-25000.0,-225000.0,71.0,0.0
-25000.0,-225000.0,51.0,0.0
-25000.0,-225000.0,31.0,0.0
-25000.0,-225000.0,11.0,0.0
25000.0,-225000.0,191.0,0.0
25000.0,-225000.0,171.0,0.0
25000.0,-225000.0,151.0,0.0
25000.0,-225000.0,131.0,0.0
25000.0,-225000.0,111.0,0.0
25000.0,-225000.0,91.0,0.0
25000.0,-225000.0,71.0,0.0
25000.0,-225000.0,51.0,0.0
25000.0,-225000.0,31.0,0.0
25000.0,-225000.0,11.0,0.0
75000.0,-225000.0,191.0,0.0
75000.0,-225000.0,171.0,0.0
75000.0,-225000.0,151.0,0.0
75000.0,-225000.0,131.0,0.0
75000.0,-225000.0,111.0,0.0
75000.0,-225000.0,91.0,0.0
