upstream,downstream,height,logP
25000.0,-125000.0,191.0,0.0
25000.0,-125000.0,171.0,0.0
25000.0,-125000.0,151.0,0.0
25000.0,-125000.0,131.0,0.0
25000.0,-125000.0,111.0,0.0
25000.0,-125000.0,91.0,0.0
25000.0,-125000.0,71.0,0.0
25000.0,-125000.0,51.0,0.0
25000.0,-125000.0,31.0,0.0
25000.0,-125000.0,11.0,0.0
75000.0,-125000.0,191.0,0.0
75000.0,-125000.0,171.0,0.0
75000.0,-125000.0,151.0,0.0
75000.0,-125000.0,131.0,0.0
75000.0,-125000.0,111.0,0.0
75000.0,-125000.0,91.0,0.0
75000.0,-125000.0,71.0,0.0
75000.0,-125000.0,51.0,0.0
75000.0,-125000.0,31.0,0.0
75000.0,-125000.0,11.0,0.0
125000.0,-125000.0,191.0,0.0
125000.0,-125000.0,171.0,0.0
125000.0,-125000.0,151.0,0.0
125000.0,-125000.0,131.0,0.0
125000.0,-125000.0,111.0,0.0
125000.0,-125000.0,91.0,0.0
125000.0,-125000.0,71.0,0.0
125000.0,-125000.0,51.0,0.0
125000.0,-125000.0,31.0,0.0
125000.0,-125000.0,11.0,0.0
175000.0,-125000.0,191.0,0.0
175000.0,-125000.0,171.0,0.0
175000.0,-125000.0,151.0,0.0
175000.0,-125000.0,131.0,0.0
175000.0,-125000.0,111.0,0.0
175000.0,-125000.0,91.0,0.0
175000.0,-125000.0,71.0,0.0
175000.0,-125000.0,51.0,0.0
175000.0,-125000.0,31.0,0.0
175000.0,-125000.0,11.0,0.0
225000.0,-125000.0,191.0,0.0
225000.0,-125000.0,171.0,0.0
225000.0,-125000.0,151.0,0.0
225000.0,-125000.0,131.0,0.0
225000.0,-125000.0,111.0,0.0
225000.0,-125000.0,91.0,0.0
225000.0,-125000.0,71.0,0.0
225000.0,-125000.0,51.0,0.0
225000.0,-125000.0,31.0,0.0
225000.0,-125000.0,11.0,0.0
-225000.0,-75000.0,191.0,-3.20380253181
-225000.0,-75000.0,171.0,-2.48730201205
-225000.0,-75000.0,151.0,-2.61758752146
-225000.0,-75000.0,131.0,-3.62095245877
-225000.0,-75000.0,111.0,-2.83901406348
-225000.0,-75000.0,91.0,-3.07889478146
-225000.0,-75000.0,71.0,-3.18499132317
-225000.0,-75000.0,51.0,-4.14934969762
-225000.0,-75000.0,31.0,-3.64691998842
-225000.0,-75000.0,11.0,-4.01432121587
-175000.0,-75000.0,191.0,-3.29271005987
-175000.0,-75000.0,171.0,-2.45050924125
