upstream,downstream,height,logP
25000,-125000,191,0.0
25000,-125000,171,0.0
25000,-125000,151,0.0
25000,-125000,131,0.0
25000,-125000,111,0.0
25000,-125000,91,0.0
25000,-125000,71,0.0
25000,-125000,51,0.0
25000,-125000,31,0.0
25000,-125000,11,0.0
75000,-125000,191,0.0
75000,-125000,171,0.0
75000,-125000,151,0.0
75000,-125000,131,0.0
75000,-125000,111,0.0
75000,-125000,91,0.0
75000,-125000,71,0.0
75000,-125000,51,0.0
75000,-125000,31,0.0
75000,-125000,11,0.0
125000,-125000,191,0.0
125000,-125000,171,0.0
125000,-125000,151,0.0
125000,-125000,131,0.0
125000,-125000,111,0.0
125000,-125000,91,0.0
125000,-125000,71,0.0
125000,-125000,51,0.0
125000,-125000,31,0.0
125000,-125000,11,0.0
175000,-125000,191,0.0
175000,-125000,171,0.0
175000,-125000,151,0.0
175000,-125000,131,0.0
175000,-125000,111,0.0
175000,-125000,91,0.0
175000,-125000,71,0.0
175000,-125000,51,0.0
175000,-125000,31,0.0
175000,-125000,11,0.0
225000,-125000,191,0.0
225000,-125000,171,0.0
225000,-125000,151,0.0
225000,-125000,131,0.0
225000,-125000,111,0.0
225000,-125000,91,0.0
225000,-125000,71,0.0
225000,-125000,51,0.0
225000,-125000,31,0.0
225000,-125000,11,0.0
-225000,-75000,191,0.0
-225000,-75000,171,0.0
-225000,-75000,151,-1.1029978667
-225000,-75000,131,-0.68774303983
-225000,-75000,111,-1.30582882124
-225000,-75000,91,-1.58920915186
-225000,-75000,71,-2.17292194976
-225000,-75000,51,-3.1827289018
-225000,-75000,31,-2.80879240013
-225000,-75000,11,-3.94660090681
-175000,-75000,191,0.0
-175000,-75000,171,0.0
-175000,-75000,151,-1.1029978667
-175000,-75000,131,-1.64774389987
-175000,-75000,111,-1.84999259847
-175000,-75000,91,-1.02569208573
-175000,-75000,71,-2.22084945201
-175000,-75000,51,-3.1185713016
-175000,-75000,31,-3.72771008362
-175000,-75000,11,-5.59544301373
-125000,-75000,191,0.0
-125000,-75000,171,0.0
-125000,-75000,151,0.0
-125000,-75000,131,-1.38179857783
-125000,-75000,111,-2.65977545169
-125000,-75000,91,-1.07149329848
-125000,-75000,71,-1.33527890488
-125000,-75000,51,-2.77302288741
-125000,-75000,31,-3.5635055364
-125000,-75000,11,-5.15106707341
-75000,-75000,191,0.0
-75000,-75000,171,0.0
-75000,-75000,151,0.0
-75000,-75000,131,0.0
-75000,-75000,111,0.0
-75000,-75000,91,0.0
-75000,-75000,71,0.0
-75000,-75000,51,0.0
-75000,-75000,31,0.0
-75000,-75000,11,0.0
-25000,-75000,191,0.0
-25000,-75000,171,0.0
-25000,-75000,151,0.0
-25000,-75000,131,0.0
-25000,-75000,111,0.0
-25000,-75000,91,0.0
-25000,-75000,71,0.0
-25000,-75000,51,0.0
-25000,-75000,31,0.0
-25000,-75000,11,0.0
25000,-75000,191,0.0
25000,-75000,171,0.0
25000,-75000,151,0.0
25000,-75000,131,0.0
25000,-75000,111,0.0
25000,-75000,91,0.0
25000,-75000,71,0.0
25000,-75000,51,0.0
25000,-75000,31,0.0
25000,-75000,11,0.0
75000,-75000,191,0.0
75000,-75000,171,0.0
75000,-75000,151,0.0
75000,-75000,131,0.0
75000,-75000,111,0.0
75000,-75000,91,0.0
75000,-75000,71,0.0
75000,-75000,51,0.0
75000,-75000,31,0.0
75000,-75000,11,0.0
125000,-75000,191,0.0
125000,-75000,171,0.0
125000,-75000,151,0.0
125000,-75000,131,0.0
125000,-75000,111,0.0
25000,125000,191,-0.796524701836
25000,125000,171,-0.552044948065
25000,125000,151,-0.895688095417
25000,125000,131,-1.80781729606
25000,125000,111,-2.07990214494
25000,125000,91,-3.05604124179
25000,125000,71,-2.20282310117
25000,125000,51,-3.25093356444
25000,125000,31,-4.91310831319
25000,125000,11,-8.14836765734
75000,125000,191,-0.796524701836
75000,125000,171,-0.796524701836
75000,125000,151,-0.549292834687
75000,125000,131,-1.33039180798
75000,125000,111,-1.29453499831
75000,125000,91,-2.31862964213
75000,125000,71,-2.40767501828
75000,125000,51,-2.77679703528
75000,125000,31,-4.89032068956
75000,125000,11,-7.54758687588
125000,125000,191,0.0
125000,125000,171,0.0
125000,125000,151,0.0
125000,125000,131,0.0
125000,125000,111,0.0
125000,125000,91,0.0
125000,125000,71,0.0
125000,125000,51,0.0
125000,125000,31,0.0
125000,125000,11,0.0
175000,125000,191,0.0
175000,125000,171,0.0
175000,125000,151,0.0
175000,125000,131,0.0
175000,125000,111,0.0
175000,125000,91,0.0
175000,125000,71,0.0
175000,125000,51,0.0
175000,125000,31,0.0
175000,125000,11,0.0
225000,125000,191,0.0
225000,125000,171,0.0
225000,125000,151,0.0
225000,125000,131,0.0
225000,125000,111,0.0
225000,125000,91,0.0
225000,125000,71,0.0
225000,125000,51,0.0
