upstream,downstream,height,logP
25000,-125000,191,0.0
25000,-125000,171,0.0
25000,-125000,151,0.0
25000,-125000,131,0.0
25000,-125000,111,0.0
25000,-125000,91,0.0
25000,-125000,71,0.0
25000,-125000,51,0.0
25000,-125000,31,0.0
25000,-125000,11,0.0
75000,-125000,191,0.0
75000,-125000,171,0.0
75000,-125000,151,0.0
75000,-125000,131,0.0
75000,-125000,111,0.0
75000,-125000,91,0.0
75000,-125000,71,0.0
75000,-125000,51,0.0
75000,-125000,31,0.0
75000,-125000,11,0.0
125000,-125000,191,0.0
125000,-125000,171,0.0
125000,-125000,151,0.0
125000,-125000,131,0.0
125000,-125000,111,0.0
125000,-125000,91,0.0
125000,-125000,71,0.0
125000,-125000,51,0.0
125000,-125000,31,0.0
125000,-125000,11,0.0
175000,-125000,191,0.0
175000,-125000,171,0.0
175000,-125000,151,0.0
175000,-125000,131,0.0
175000,-125000,111,0.0
175000,-125000,91,0.0
175000,-125000,71,0.0
175000,-125000,51,0.0
175000,-125000,31,0.0
175000,-125000,11,0.0
225000,-125000,191,0.0
225000,-125000,171,0.0
225000,-125000,151,0.0
225000,-125000,131,0.0
225000,-125000,111,0.0
225000,-125000,91,0.0
225000,-125000,71,0.0
225000,-125000,51,0.0
225000,-125000,31,0.0
225000,-125000,11,0.0
-225000,-75000,191,-3.22493169792
-225000,-75000,171,-2.51824176464
-225000,-75000,151,-2.7051522279
-225000,-75000,131,-3.63019327707
-225000,-75000,111,-2.8185092041
-225000,-75000,91,-3.00518299606
-225000,-75000,71,-3.0829381246
-225000,-75000,51,-4.07234454871
-225000,-75000,31,-3.94642262324
-225000,-75000,11,-4.16387934757
-175000,-75000,191,-3.31979540863
-175000,-75000,171,-2.48669182056
-175000,-75000,151,-2.81367218542
-175000,-75000,131,-3.6145409869
-175000,-75000,111,-2.70904539777
-175000,-75000,91,-2.83408374266
-175000,-75000,71,-2.68166503566
-175000,-75000,51,-3.78477346195
-175000,-75000,31,-3.93719717383
-175000,-75000,11,-4.59566013425
-125000,-75000,191,-3.10879189006
-125000,-75000,171,-2.22722780793
-125000,-75000,151,-2.93617606361
-125000,-75000,131,-3.74839897952
-125000,-75000,111,-3.09360314682
-125000,-75000,91,-2.66665545767
-125000,-75000,71,-3.53291209788
-125000,-75000,51,-4.88509727268
-125000,-75000,31,-3.84633168319
-125000,-75000,11,-3.97611723956
-75000,-75000,191,0.0
-75000,-75000,171,0.0
-75000,-75000,151,0.0
-75000,-75000,131,0.0
-75000,-75000,111,0.0
-75000,-75000,91,0.0
-75000,-75000,71,0.0
-75000,-75000,51,0.0
-75000,-75000,31,0.0
-75000,-75000,11,0.0
-25000,-75000,191,0.0
-25000,-75000,171,0.0
-25000,-75000,151,0.0
-25000,-75000,131,0.0
-25000,-75000,111,0.0
-25000,-75000,91,0.0
-25000,-75000,71,0.0
-25000,-75000,51,0.0
-25000,-75000,31,0.0
-25000,-75000,11,0.0
25000,-75000,191,0.0
25000,-75000,171,0.0
25000,-75000,151,0.0
25000,-75000,131,0.0
25000,-75000,111,0.0
25000,-75000,91,0.0
25000,-75000,71,0.0
25000,-75000,51,0.0
25000,-75000,31,0.0
25000,-75000,11,0.0
75000,-75000,191,0.0
75000,-75000,171,0.0
75000,-75000,151,0.0
75000,-75000,131,0.0
75000,-75000,111,0.0
75000,-75000,91,0.0
75000,-75000,71,0.0
75000,-75000,51,0.0
75000,-75000,31,0.0
75000,-75000,11,0.0
125000,-75000,191,0.0
125000,-75000,171,0.0
125000,-75000,151,0.0
125000,-75000,131,0.0
125000,-75000,111,0.0
-125000,75000,91,-9.01865108541
-125000,75000,71,-9.99384803792
-125000,75000,51,-10.3844706651
-125000,75000,31,-9.66152806767
-125000,75000,11,-10.4886891483
-75000,75000,191,-7.72709019003
-75000,75000,171,-7.27494757536
-75000,75000,151,-7.81668937185
-75000,75000,131,-8.03216988563
-75000,75000,111,-8.78182981972
-75000,75000,91,-9.4271803388
-75000,75000,71,-10.7852634493
-75000,75000,51,-11.78189357
-75000,75000,31,-11.0902517205
-75000,75000,11,-12.002804342
-25000,75000,191,-8.00572358124
-25000,75000,171,-7.64235094083
-25000,75000,151,-8.23135110952
-25000,75000,131,-8.8068839144
-25000,75000,111,-9.23010357148
-25000,75000,91,-10.1018453385
-25000,75000,71,-12.2816598091
-25000,75000,51,-13.5152400328
-25000,75000,31,-13.1742700207
-25000,75000,11,-14.6469667278
25000,75000,191,-4.55570096425
25000,75000,171,-4.53327066351
25000,75000,151,-5.21271561284
25000,75000,131,-5.4896111988
25000,75000,111,-5.62985659774
25000,75000,91,-5.58797232195
25000,75000,71,-6.39203154452
25000,75000,51,-6.29653806231
25000,75000,31,-7.30480814893
25000,75000,11,-9.46543664745
75000,75000,191,0.0
75000,75000,171,0.0
75000,75000,151,0.0
