upstream,downstream,height,logP
25000,125000,191,-2.76245800946
25000,125000,171,-2.92908855492
25000,125000,151,-3.81191836449
25000,125000,131,-4.60032328392
25000,125000,111,-4.82956542982
25000,125000,91,-4.82144028204
25000,125000,71,-5.9387571851
25000,125000,51,-6.44623130656
25000,125000,31,-7.77101955183
25000,125000,11,-9.01319350381
75000,125000,191,-1.03163756804
75000,125000,171,-0.883864561623
75000,125000,151,-1.24546416762
75000,125000,131,-1.87560884002
75000,125000,111,-1.68986142116
75000,125000,91,-1.61297069873
75000,125000,71,-2.67333804223
75000,125000,51,-3.74568057978
75000,125000,31,-5.40611200613
75000,125000,11,-7.14348540725
125000,125000,191,0.0
125000,125000,171,0.0
125000,125000,151,0.0
125000,125000,131,0.0
125000,125000,111,0.0
125000,125000,91,0.0
125000,125000,71,0.0
125000,125000,51,0.0
125000,125000,31,0.0
125000,125000,11,0.0
175000,125000,191,0.0
175000,125000,171,0.0
175000,125000,151,0.0
175000,125000,131,0.0
175000,125000,111,0.0
175000,125000,91,0.0
175000,125000,71,0.0
175000,125000,51,0.0
175000,125000,31,0.0
175000,125000,11,0.0
225000,125000,191,0.0
225000,125000,171,0.0
225000,125000,151,0.0
225000,125000,131,0.0
225000,125000,111,0.0
225000,125000,91,0.0
225000,125000,71,0.0
225000,125000,51,0.0
225000,125000,31,0.0
225000,125000,11,0.0
-225000,175000,191,-6.24102479215
-225000,175000,171,-5.59257746448
-225000,175000,151,-5.94812807667
-225000,175000,131,-6.34886149755
-225000,175000,111,-6.01288736533
-225000,175000,91,-6.3051700255
-225000,175000,71,-6.61159120456
-225000,175000,51,-6.9257108588
-225000,175000,31,-7.07420959742
-225000,175000,11,-7.08397395827
-175000,175000,191,-6.63279510966
-175000,175000,171,-6.01232475018
-175000,175000,151,-6.69180098449
-175000,175000,131,-7.05129968323
-175000,175000,111,-6.85921660236
-175000,175000,91,-7.03827056353
-175000,175000,71,-7.41023008894
-175000,175000,51,-7.70005055907
-175000,175000,31,-7.81658543942
-175000,175000,11,-7.91750453182
-125000,175000,191,-6.53146118628
-125000,175000,171,-6.17252907554
-125000,175000,151,-7.11777935073
-125000,175000,131,-7.54974755906
-125000,175000,111,-7.51811636923
-125000,175000,91,-7.92608352019
-125000,175000,71,-8.22296230277
-125000,175000,51,-8.32251160028
-125000,175000,31,-8.32316051536
-125000,175000,11,-8.56145515134
-75000,175000,191,-6.24954490492
-75000,175000,171,-6.46121514008
-75000,175000,151,-7.20003960897
-75000,175000,131,-7.23199499961
-75000,175000,111,-7.47754470353
-75000,175000,91,-8.13275560488
-75000,175000,71,-8.59915512387
-75000,175000,51,-8.94631256726
-75000,175000,31,-9.08751298457
-75000,175000,11,-9.32183146789
-25000,175000,191,-6.551004682
-25000,175000,171,-6.87546064333
-25000,175000,151,-7.64668642195
-25000,175000,131,-7.88380064388
-25000,175000,111,-8.02408934485
-25000,175000,91,-8.86079062057
-25000,175000,71,-9.50861611459
-25000,175000,51,-9.83172134408
-25000,175000,31,-10.2502078122
-25000,175000,11,-10.7041785994
25000,175000,191,-3.087641621
25000,175000,171,-3.26601935083
25000,175000,151,-3.68845839531
25000,175000,131,-3.42752689206
25000,175000,111,-3.2372224732
25000,175000,91,-3.74688740412
25000,175000,71,-4.16527688259
25000,175000,51,-4.59476282664
25000,175000,31,-5.60011023193
25000,175000,11,-6.75544385022
75000,175000,191,-1.63221541362
75000,175000,171,-1.37312904395
75000,175000,151,-1.49837678634
75000,175000,131,-1.20853991146
75000,175000,111,-1.06142051603
75000,175000,91,-1.16704267255
75000,175000,71,-1.59796298575
75000,175000,51,-2.174167931
75000,175000,31,-2.91728293005
75000,175000,11,-3.98636846141
125000,175000,191,-1.94610270786
125000,175000,171,-1.83948697816
125000,175000,151,-1.59359704918
125000,175000,131,-0.839940113116
125000,175000,111,-0.749040652497
-225000,-225000,191,0.0
-225000,-225000,171,0.0
-225000,-225000,151,0.0
-225000,-225000,131,0.0
-225000,-225000,111,0.0
-225000,-225000,91,0.0
-225000,-225000,71,0.0
-225000,-225000,51,0.0
-225000,-225000,31,0.0
-225000,-225000,11,-0.796524701836
-175000,-225000,191,0.0
-175000,-225000,171,0.0
-175000,-225000,151,0.0
-175000,-225000,131,0.0
-175000,-225000,111,0.0
-175000,-225000,91,0.0
-175000,-225000,71,0.0
-175000,-225000,51,0.0
-175000,-225000,31,0.0
-175000,-225000,11,0.0
-125000,-225000,191,0.0
-125000,-225000,171,0.0
-125000,-225000,151,0.0
-125000,-225000,131,0.0
-125000,-225000,111,0.0
-125000,-225000,91,0.0
-125000,-225000,71,0.0
-125000,-225000,51,0.0
-125000,-225000,31,0.0
-125000,-225000,11,0.0
-75000,-225000,191,0.0
-75000,-225000,171,0.0
-75000,-225000,151,0.0
-75000,-225000,131,0.0
-75000,-225000,111,0.0
-75000,-225000,91,0.0
-75000,-225000,71,0.0
-75000,-225000,51,0.0
-75000,-225000,31,0.0
-75000,-225000,11,0.0
-25000,-225000,191,0.0
-25000,-225000,171,0.0
-25000,-225000,151,0.0
-25000,-225000,131,0.0
-25000,-225000,111,0.0
-25000,-225000,91,0.0
-25000,-225000,71,0.0
-25000,-225000,51,0.0
-25000,-225000,31,0.0
-25000,-225000,11,0.0
25000,-225000,191,0.0
25000,-225000,171,0.0
25000,-225000,151,0.0
25000,-225000,131,0.0
25000,-225000,111,0.0
25000,-225000,91,0.0
